x,d,y
63.8378585354,-4750,139.07551928
64.8369323849,-4750,138.745972005
63.8709822167,-4700,139.064593342
64.8163635036,-4700,138.752756707
63.3617564674,-5300,139.232562865
65.1314320847,-5300,138.648830464
63.4148530017,-5250,139.215048826
65.0999888598,-5250,138.659202098
63.4695978515,-5200,139.196991086
65.0669054717,-5200,138.670114746
63.5249903457,-5150,139.178719719
65.0338217374,-5150,138.681027507
63.5684395668,-5100,139.164387873
65.0017674453,-5100,138.691600704
63.6116155629,-5050,139.150146151
64.976541243,-5050,138.699921637
63.6543002114,-5000,139.136066501
64.9520870408,-5000,138.707987923
63.2083447074,-5400,139.283166159
65.223863362,-5400,138.618341751
63.2891347327,-5350,139.256517345
65.1756173762,-5350,138.634255823
6.80226708314,-2800,157.888867021
10.3664417398,-2800,156.713214143
6.72118826791,-2850,157.915611093
10.3970902532,-2850,156.703104646
7.23483244704,-2500,157.746184138
8.57118746739,-2500,157.305383735
9.30048083806,-2500,157.064824298
10.1300713449,-2500,156.791181572
6.64816824119,-2900,157.939696951
10.4216219054,-2900,156.695012813
7.16353337344,-2550,157.769702335
8.61545471682,-2550,157.29078206
9.2171294419,-2550,157.092317986
10.1819542935,-2550,156.774067838
7.09397811035,-2600,157.792645331
8.71596402008,-2600,157.257628788
9.10476448774,-2600,157.129381878
10.2281599622,-2600,156.75882677
7.02755494093,-2650,157.814555197
10.2647463059,-2650,156.746758664
6.94858482919,-2700,157.840603707
10.2993581402,-2700,156.735341854
6.87305929775,-2750,157.865516013
10.3332803551,-2750,156.724152518
7.67154220026,-2150,157.602134217
8.25225319293,-2150,157.410585088
7.60146245912,-2200,157.625250214
8.30240036322,-2200,157.394043905
7.53412239934,-2250,157.647462519
8.34688743293,-2250,157.379369722
7.47404501387,-2300,157.667279211
8.39165669977,-2300,157.364602456
9.65887951926,-2300,156.9466055
9.76120274561,-2300,156.912853901
7.41444898816,-2350,157.686937125
8.43597133565,-2350,157.34998515
9.54076105189,-2350,156.985567204
9.93087082913,-2350,156.856888414
7.35532902549,-2400,157.706438008
8.48145067544,-2400,157.334983664
9.45130737891,-2400,157.015073746
10.0133158173,-2400,156.829693706
7.29513069378,-2450,157.726294594
8.52612758435,-2450,157.320246862
9.37557741208,-2450,157.040053485
10.0760602347,-2450,156.808997287
7.88680488859,-2050,157.531129223
8.04942169303,-2050,157.47748962
7.75595387799,-2100,157.574290791
8.16239068481,-2100,157.440226485
25.8834078046,-2800,151.594899929
35.5296536486,-2800,148.413059032
25.8289730247,-2850,151.612855392
35.5924079836,-2850,148.392359341
25.7734750769,-2900,151.631161543
35.653108521,-2900,148.3723371
25.7276866711,-2950,151.646264976
35.7094264891,-2950,148.353760463
27.0563897078,-2450,151.207988601
34.8183805979,-2450,148.647674417
26.9689529694,-2500,151.236829851
34.9029406369,-2500,148.619782054
26.8970132082,-2550,151.26055938
35.0148338637,-2550,148.582873763
26.8184944531,-2600,151.286459009
35.1377674319,-2600,148.542323785
26.7053373925,-2650,151.323784179
35.2765159447,-2650,148.496557204
26.0253903742,-2700,151.548066585
26.4180026032,-2700,151.418562354
26.5373127303,-2700,151.379207579
35.3855622792,-2700,148.460587969
25.9341339398,-2750,151.578167773
35.4701995319,-2750,148.432670137
28.626558576,-1600,150.690064052
28.6483401587,-1600,150.682879337
28.1401670169,-2100,150.850501655
34.2063530847,-2100,148.849553386
28.0984149605,-2150,150.864273686
34.2946791241,-2150,148.820418798
28.0551314367,-2200,150.878550876
34.3699040433,-2200,148.79560565
28.0141424751,-2250,150.892071199
34.4828591904,-2250,148.758347082
27.9716537738,-2300,150.906086215
34.5716023267,-2300,148.729074913
27.9269291514,-2350,150.920838755
34.6586241973,-2350,148.700370508
27.1462020875,-2400,151.178363738
27.4845930254,-2400,151.066744551
27.8473208229,-2400,150.947097783
34.7363635068,-2400,148.674727981
22.4771006756,-3800,152.718479765
23.0473572447,-3800,152.530379057
31.9733530151,-1450,149.586114641
32.8398158967,-1450,149.300309461
28.2184131471,-2000,150.824691952
33.9201614796,-2000,148.94395448
28.1800231031,-2050,150.837355014
34.093204235,-2050,148.886875848
30.6693008981,-1650,150.016259842
33.0755467483,-1650,149.222552987
30.4136119983,-1700,150.100599534
33.1309329906,-1700,149.204283682
30.2360440619,-1750,150.159170809
33.1854115335,-1750,149.186313783
30.1016384055,-1800,150.203504887
33.2413158603,-1800,149.167873586
29.986331288,-1850,150.241539259
33.3075193801,-1850,149.146036172
29.8769415852,-1900,150.277621755
33.4279427808,-1900,149.10631418
29.759021496,-1950,150.316518023
33.6166877587,-1950,149.044056127
31.8884669674,-1500,149.614114539
32.9052723674,-1500,149.278718463
31.306981203,-1550,149.805919228
32.9660083038,-1550,149.258684546
30.9556147217,-1600,149.921818435
33.0209257026,-1600,149.24056989
28.2554164776,-1950,150.812486301
29.3057448525,-1950,150.466032579
28.2922157324,-1900,150.800347965
29.1333886744,-1900,150.522884741
28.3546765218,-1850,150.779745101
29.0090317516,-1850,150.563904217
28.4047676947,-1800,150.763222389
28.9193549325,-1800,150.593484364
28.4527280287,-1750,150.74740254
28.8403396698,-1750,150.619547767
28.5297617341,-1700,150.721992759
28.7526237386,-1700,150.64848111
28.5781611668,-1650,150.706028072
28.7004824879,-1650,150.665680045
16.8214687136,-4200,154.584005625
17.0435618242,-4200,154.510747598
18.8611538079,-3500,153.91120985
19.0780416666,-3500,153.83966879
18.4083928791,-3550,154.060554296
18.5962286607,-3550,153.998596144
18.6207563706,-3550,153.990505611
19.2120279014,-3550,153.795473059
17.9289308489,-3650,154.218706174
19.341756321,-3650,153.752681781
18.0609456086,-3600,154.17516074
19.284352939,-3600,153.771616445
19.7751002051,-4450,153.609742101
20.4843859362,-4450,153.375782239
19.7338119716,-4400,153.623361139
20.6118638093,-4400,153.33373331
19.6961195913,-4350,153.635794075
20.7306696052,-4350,153.294544889
19.6665415514,-4300,153.645550473
20.8043203646,-4300,153.270250982
16.3555231559,-4050,154.737699058
17.3184545421,-4050,154.420073474
19.5394709896,-4050,153.68746505
21.5346843565,-4050,153.029338397
19.6126741051,-4200,153.6633188
20.9687012558,-4200,153.21602949
19.6391042439,-4250,153.654600745
20.881587968,-4250,153.244764049
16.4568747849,-4100,154.704267942
17.2569631497,-4100,154.44035658
19.5627842341,-4100,153.679775112
21.4111116762,-4100,153.070099188
16.5744741919,-4150,154.665477452
17.1943587917,-4150,154.461006801
19.5871966989,-4150,153.671722593
21.100083744,-4150,153.172692612
11.0334016344,-4000,156.493215575
11.574280763,-4000,156.314805098
11.0827874311,-4050,156.476925534
11.4932680527,-4050,156.341527364
12.1153804127,-3600,156.13632188
12.8197355905,-3600,155.903988375
11.1853445799,-4100,156.443096774
11.3534646382,-4100,156.387641908
12.2152216698,-3550,156.103388965
12.6683748791,-3550,155.953915124
13.9871551618,-3400,155.518911797
15.026700838,-3400,155.176014778
14.171679364,-3350,155.458045978
14.6767333121,-3350,155.291452535
10.9843958955,-3950,156.509380254
11.650437192,-3950,156.289684689
13.654241712,-3550,155.62872422
15.3134237284,-3550,155.081438439
13.7576849578,-3500,155.594603179
15.2349877973,-3500,155.107310748
13.862557072,-3450,155.560010822
15.1446427709,-3450,155.137111305
12.0314619572,-3650,156.164002615
13.0007975343,-3650,155.844264591
13.376335076,-3650,155.720392493
15.4856004423,-3650,155.024645473
11.9621566448,-3700,156.186863164
15.5993279838,-3700,154.987132129
13.5383591782,-3600,155.666948395
15.3905612235,-3600,155.055994422
19.8205245037,-4500,153.59475877
20.3386042064,-4500,153.423868746
19.8716729471,-4550,153.577887315
20.2357148737,-4550,153.457807077
